policy,N,mean_Gzero,P50_Gzero,P95_Gzero,max_Gzero,within_sweep_count
EARLY,10000,4.009500,4.000000,4.000000,7,10000
GROUP_NO_SCRATCH,10000,20.315600,20.000000,21.000000,24,10000
