policy,G,repairability,N,mean_Lpost,P50_Lpost,P95_Lpost,max_Lpost,zero_latency_fraction,mean_Llast_fault
GROUP_NO_SCRATCH,3,unrepairable,12,17.666667,17.000000,21.000000,21,0.000000,20.666667
GROUP_NO_SCRATCH,4,repairable,9988,16.315178,16.000000,17.000000,19,0.000000,20.315178
GROUP_NO_SCRATCH,4,unrepairable,12,16.666667,16.000000,20.000000,20,0.000000,20.666667
GROUP_NO_SCRATCH,5,repairable,9988,15.315178,15.000000,16.000000,18,0.000000,20.315178
GROUP_NO_SCRATCH,5,unrepairable,12,15.666667,15.000000,19.000000,19,0.000000,20.666667
GROUP_NO_SCRATCH,6,repairable,9988,14.315178,14.000000,15.000000,17,0.000000,20.315178
GROUP_NO_SCRATCH,6,unrepairable,12,14.666667,14.000000,18.000000,18,0.000000,20.666667
GROUP_NO_SCRATCH,7,repairable,9988,13.315178,13.000000,14.000000,16,0.000000,20.315178
GROUP_NO_SCRATCH,7,unrepairable,12,13.666667,13.000000,17.000000,17,0.000000,20.666667
GROUP_NO_SCRATCH,8,repairable,9988,12.315178,12.000000,13.000000,15,0.000000,20.315178
GROUP_NO_SCRATCH,8,unrepairable,12,12.666667,12.000000,16.000000,16,0.000000,20.666667
GROUP_NO_SCRATCH,9,repairable,9988,11.315178,11.000000,12.000000,14,0.000000,20.315178
GROUP_NO_SCRATCH,9,unrepairable,12,11.666667,11.000000,15.000000,15,0.000000,20.666667
GROUP_NO_SCRATCH,10,repairable,9988,10.315178,10.000000,11.000000,13,0.000000,20.315178
GROUP_NO_SCRATCH,10,unrepairable,12,10.666667,10.000000,14.000000,14,0.000000,20.666667
GROUP_NO_SCRATCH,11,repairable,9988,9.315178,9.000000,10.000000,12,0.000000,20.315178
GROUP_NO_SCRATCH,11,unrepairable,12,9.666667,9.000000,13.000000,13,0.000000,20.666667
GROUP_NO_SCRATCH,12,repairable,9988,8.315178,8.000000,9.000000,11,0.000000,20.315178
GROUP_NO_SCRATCH,12,unrepairable,12,8.666667,8.000000,12.000000,12,0.000000,20.666667
GROUP_NO_SCRATCH,13,repairable,9988,7.315178,7.000000,8.000000,10,0.000000,20.315178
GROUP_NO_SCRATCH,13,unrepairable,12,7.666667,7.000000,11.000000,11,0.000000,20.666667
GROUP_NO_SCRATCH,14,repairable,9988,6.315178,6.000000,7.000000,9,0.000000,20.315178
GROUP_NO_SCRATCH,14,unrepairable,12,6.666667,6.000000,10.000000,10,0.000000,20.666667
GROUP_NO_SCRATCH,15,repairable,9988,5.315178,5.000000,6.000000,8,0.000000,20.315178
GROUP_NO_SCRATCH,15,unrepairable,12,5.666667,5.000000,9.000000,9,0.000000,20.666667
GROUP_NO_SCRATCH,16,repairable,9988,4.315178,4.000000,5.000000,7,0.000000,20.315178
GROUP_NO_SCRATCH,16,unrepairable,12,4.666667,4.000000,8.000000,8,0.000000,20.666667
GROUP_NO_SCRATCH,17,repairable,9988,3.315178,3.000000,4.000000,6,0.000000,20.315178
